,equity
2024-10-01,99950.02498750624
2024-10-02,99992.21134394288
2024-10-03,99809.40379938412
2024-10-04,100716.41046277185
2024-10-07,99805.88826968105
2024-10-08,100749.80799495084
2024-10-09,101447.64064100692
2024-10-10,101270.10639100273
2024-10-11,101876.53526477942
2024-10-14,102709.71580440304
2024-10-15,101911.69056180994
2024-10-16,102354.64730439463
2024-10-17,102363.43612865229
2024-10-18,102757.17545539424
2024-10-21,102588.43002964769
2024-10-22,102533.93931925036
2024-10-23,101597.05065338667
2024-10-24,101816.77125982751
2024-10-25,101781.61596279696
2024-10-28,102096.25587122024
2024-10-29,102261.48576726373
2024-10-30,101952.11915339505
2024-10-31,99953.54051720929
2024-11-01,100375.40408157567
2024-11-04,100159.1990048379
2024-11-05,101370.29898753975
2024-11-06,103890.9337846289
2024-11-07,104694.23232177657
2024-11-08,105147.73565347044
2024-11-11,105247.92825000745
2024-11-12,104920.98398762349
2024-11-13,104971.95916831779
2024-11-14,104296.97746533155
2024-11-15,102961.07617817132
2024-11-18,103382.93974253771
2024-11-19,103760.85918561593
2024-11-20,103796.01448264647
2024-11-21,104353.22594058039
2024-11-22,104676.6546732613
2024-11-25,105031.72317326967
2024-11-26,105580.14580694598
2024-11-27,105260.23260396815
2024-11-29,105914.12112873603
2024-12-02,106103.95973270091
2024-12-03,106153.17714854365
2024-12-04,106812.33896786613
2024-12-05,106636.56248271347
2024-12-06,106838.70544063902
2024-12-09,106288.5250421112
2024-12-10,105958.0652500242
2024-12-11,106777.18367083561
2024-12-12,106227.00327230777
2024-12-13,106205.91009408946
2024-12-16,106659.41342578332
2024-12-17,106219.97221290166
2024-12-18,103054.23771530224
2024-12-19,103022.59794797476
2024-12-20,103910.2691979957
2024-12-23,104532.51795543612
2024-12-24,105694.4005222952
2024-12-26,105701.43158170133
2024-12-27,104588.76643068498
2024-12-30,103395.24409649841
2024-12-31,103019.08241827172
